alpha,house_finch,rubber_eraser,goldfinch,killer_whale
0.0,0.00014023455150891095,0.000979047268629074,0.00021147783263586462,0.0002707171661313623
0.02,0.001281500095501542,0.042369503527879715,0.0041894870810210705,0.0015443454030901194
0.04,0.14095520973205566,0.28139927983283997,0.853900134563446,0.9418297410011292
0.06,0.5090884566307068,0.7147622108459473,0.8226380348205566,0.9513357877731323
0.08,0.8358787298202515,0.8058689832687378,0.8319029211997986,0.9487081170082092
0.1,0.9317808747291565,0.8658671379089355,0.8458525538444519,0.9440613389015198
0.12,0.9490979313850403,0.8974688649177551,0.8505839705467224,0.9414049386978149
0.14,0.9586900472640991,0.9219709634780884,0.8466404676437378,0.9395838379859924
0.16,0.9626908302307129,0.9385814070701599,0.8475611805915833,0.9400430917739868
0.18,0.9656383991241455,0.950547456741333,0.8495013117790222,0.9393557906150818
0.2,0.9671009182929993,0.9582055807113647,0.8506472110748291,0.9384636878967285
0.22,0.968975305557251,0.960940420627594,0.8505803346633911,0.938655436038971
0.24,0.9691891074180603,0.9617900848388672,0.8500465750694275,0.9402275681495667
0.26,0.9694027900695801,0.9623463749885559,0.8502137064933777,0.9411717057228088
0.28,0.9698032736778259,0.9634777903556824,0.8508203625679016,0.9421001672744751
0.3,0.9701282978057861,0.9631298780441284,0.8499821424484253,0.9432799816131592
0.32,0.970571756362915,0.9625064134597778,0.849911630153656,0.9438371062278748
0.34,0.9706234335899353,0.9616727828979492,0.8486679792404175,0.944331169128418
0.36,0.9702327251434326,0.9613295793533325,0.8478965163230896,0.9443322420120239
0.38,0.9695195555686951,0.961000919342041,0.8493348956108093,0.9445194602012634
0.4,0.9688385128974915,0.9604775309562683,0.8532283306121826,0.9445918798446655
0.42,0.9681863784790039,0.9602543115615845,0.8580410480499268,0.945173442363739
0.44,0.9677189588546753,0.9603255391120911,0.863008439540863,0.9457283020019531
0.46,0.9674510955810547,0.9598045349121094,0.8666452765464783,0.9463350176811218
0.48,0.9672401547431946,0.9589844346046448,0.8692517280578613,0.9467156529426575
0.5,0.9673193693161011,0.9582276940345764,0.8718060255050659,0.9471684694290161
0.52,0.9672278761863708,0.957914412021637,0.8755603432655334,0.9476125240325928
0.54,0.9671180844306946,0.9578388333320618,0.8788771033287048,0.9478858709335327
0.56,0.9670137166976929,0.9578464031219482,0.8821262717247009,0.947922945022583
0.58,0.9670916199684143,0.9579814672470093,0.884803056716919,0.9478198885917664
0.6,0.9670801758766174,0.958091676235199,0.8870197534561157,0.947717547416687
0.62,0.9671564102172852,0.9581137895584106,0.8886073231697083,0.9477837085723877
0.64,0.9670758247375488,0.9578890800476074,0.8901755213737488,0.947826087474823
0.66,0.9669637680053711,0.9574437737464905,0.8919116258621216,0.9480266571044922
0.68,0.9668769240379333,0.9568875432014465,0.8938870429992676,0.9482328295707703
0.7000000000000001,0.9666174650192261,0.9562280178070068,0.8959607481956482,0.9482909440994263
0.72,0.9664462804794312,0.9556151628494263,0.8976806998252869,0.9483763575553894
0.74,0.9663790464401245,0.955265462398529,0.8990672826766968,0.9484847784042358
0.76,0.9664204716682434,0.954984724521637,0.9006145000457764,0.9485254287719727
0.78,0.9663963317871094,0.9547396302223206,0.9033717513084412,0.9485177993774414
0.8,0.9662171006202698,0.9543797969818115,0.9062544107437134,0.9484865069389343
0.8200000000000001,0.9660472869873047,0.9540215134620667,0.9094047546386719,0.9485085010528564
0.84,0.965880811214447,0.9537080526351929,0.9107432961463928,0.9484710693359375
0.86,0.9656661748886108,0.9534421563148499,0.9121601581573486,0.9483272433280945
0.88,0.965610921382904,0.9531438946723938,0.9137377738952637,0.9481847882270813
0.9,0.9655071496963501,0.9528485536575317,0.9152520298957825,0.9480716586112976
0.92,0.9652526378631592,0.9527616500854492,0.9171222448348999,0.9479694366455078
0.9400000000000001,0.9649256467819214,0.9527612924575806,0.9190118908882141,0.9478325247764587
0.96,0.9645824432373047,0.9527446627616882,0.920657753944397,0.9477037191390991
0.98,0.964324414730072,0.9526166319847107,0.9222825765609741,0.9477323293685913
1.0,0.964145839214325,0.9524839520454407,0.9238515496253967,0.9477327466011047
